geo_id,Geography,County Name,,Ratio of Unmarried Same Sex Partner Households to Total Unmarried Partner Households
13221,0500000US13221,"Oglethorpe County, Georgia",,0.160377358
13223,0500000US13223,"Paulding County, Georgia",,0.109863673
13225,0500000US13225,"Peach County, Georgia",,0.100817439
13227,0500000US13227,"Pickens County, Georgia",,0.133514986
13229,0500000US13229,"Pierce County, Georgia",,0.132075472
13231,0500000US13231,"Pike County, Georgia",,0.105882353
13233,0500000US13233,"Polk County, Georgia",,0.122977346
13235,0500000US13235,"Pulaski County, Georgia",,0.074534161
13237,0500000US13237,"Putnam County, Georgia",,0.127371274
13239,0500000US13239,"Quitman County, Georgia",,0.029411765
13241,0500000US13241,"Rabun County, Georgia",,0.145374449
13243,0500000US13243,"Randolph County, Georgia",,0.114035088
13245,0500000US13245,"Richmond County, Georgia",,0.094396769
13247,0500000US13247,"Rockdale County, Georgia",,0.114125351
13249,0500000US13249,"Schley County, Georgia",,0.063492063
13251,0500000US13251,"Screven County, Georgia",,0.062283737
13253,0500000US13253,"Seminole County, Georgia",,0.116438356
13255,0500000US13255,"Spalding County, Georgia",,0.082047116
13257,0500000US13257,"Stephens County, Georgia",,0.145658263
13259,0500000US13259,"Stewart County, Georgia",,0.153061224
13261,0500000US13261,"Sumter County, Georgia",,0.086805556
13263,0500000US13263,"Talbot County, Georgia",,0.074766355
13265,0500000US13265,"Taliaferro County, Georgia",,0.051282051
13267,0500000US13267,"Tattnall County, Georgia",,0.119760479
13269,0500000US13269,"Taylor County, Georgia",,0.090909091
13271,0500000US13271,"Telfair County, Georgia",,0.137362637
13273,0500000US13273,"Terrell County, Georgia",,0.085020243
13275,0500000US13275,"Thomas County, Georgia",,0.085219707
13277,0500000US13277,"Tift County, Georgia",,0.087336245
13279,0500000US13279,"Toombs County, Georgia",,0.110859729
13281,0500000US13281,"Towns County, Georgia",,0.157894737
13283,0500000US13283,"Treutlen County, Georgia",,0.114583333
13285,0500000US13285,"Troup County, Georgia",,0.065493646
13287,0500000US13287,"Turner County, Georgia",,0.079268293
13289,0500000US13289,"Twiggs County, Georgia",,0.137931034
13291,0500000US13291,"Union County, Georgia",,0.135416667
13293,0500000US13293,"Upson County, Georgia",,0.08492569
13295,0500000US13295,"Walker County, Georgia",,0.123470523
13297,0500000US13297,"Walton County, Georgia",,0.100483092
13299,0500000US13299,"Ware County, Georgia",,0.104562738
13301,0500000US13301,"Warren County, Georgia",,0.048951049
13303,0500000US13303,"Washington County, Georgia",,0.072100313
13305,0500000US13305,"Wayne County, Georgia",,0.108585859
13307,0500000US13307,"Webster County, Georgia",,0.136363636
13309,0500000US13309,"Wheeler County, Georgia",,0.170454545
13311,0500000US13311,"White County, Georgia",,0.125806452
13313,0500000US13313,"Whitfield County, Georgia",,0.108508977
13315,0500000US13315,"Wilcox County, Georgia",,0.185840708
13317,0500000US13317,"Wilkes County, Georgia",,0.150837989
13319,0500000US13319,"Wilkinson County, Georgia",,0.141975309
13321,0500000US13321,"Worth County, Georgia",,0.120234604
